timestamp,log_type,message
33.77006,Log,Scene TestBed is loaded
33.77006,Log,Scene TestBed is loaded
33.77006,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
33.77006,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
33.77006,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
33.77006,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
33.79006,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
33.79006,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
33.83305,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
33.83305,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
33.85448,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
33.85448,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
33.85448,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
33.85448,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
33.88229,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
33.88229,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
33.88229,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
33.88229,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
33.89683,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
33.89683,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
33.89683,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
33.89683,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
33.89683,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
33.89683,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
