timestamp,log_type,message
0,Log,Scene TestBed is loaded
0,Log,serverAddress = localhost serverPort = 7568 headMachine = DESKTOP-8TRUE6K running machine = DESKTOP-2BUD376
0,Log,Display Active: Floor
0,Log,Display Error for Display: Floor: Physical Display uses display index 1 but Unity does not detect that many displays
0,Log,Display Active: Floor2
0,Log,Display Error for Display: Floor2: Physical Display uses display index 2 but Unity does not detect that many displays
0,Log,Display Active: HeadDisplay
0.1882708,Error,Spawn scene object not found for 1
0.1882708,Error,Spawn scene object not found for 2
0.2165088,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
0.2165088,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
0.2165088,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
0.2165088,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
0.2165088,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
0.2165088,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
0.2303581,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
0.2303581,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
0.2303581,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
0.2303581,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
0.2729002,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
0.2729002,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
0.2729002,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
0.2729002,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
0.287575,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTransforms
0.287575,Warning,Could not find target object with netId:1 for RPC call ClientRpc:InvokeRpcRpcSetTime
